W;B;E;S;Bewerkingstype;RE_FO_a_WBE [m3 aardgas];RE_FO_b_WBSE [m3 aardgas];FVrvKC_mean_SJV [m3 aardgas];FVrvKC sd_SJV [m3 aardgas];OP_mean [m2];Se (stdv residuals);Sse;t a/2;Count
1;8;0;E;2;4.858279725;617.7653888;1511.212556;608.386432;183.9019608;563.9807118;150610.5098;2.008559112;0
1;8;0;F;2;4.858279725;617.7653888;1511.212556;608.386432;183.9019608;563.9807118;150610.5098;2.008559112;0
1;8;0;G;2;4.858279725;617.7653888;1511.212556;608.386432;183.9019608;563.9807118;150610.5098;2.008559112;0
1;8;1;A+;3;4.143042836;792.2948733;1623.373706;553.1475438;200.5962441;539.098141;761909.277;1.971217013;0
1;8;1;A;0;4.143042836;792.2948733;1623.373706;553.1475438;200.5962441;539.098141;761909.277;1.971217013;213
1;8;1;B;2;4.143042836;792.2948733;1623.373706;553.1475438;200.5962441;539.098141;761909.277;1.971217013;0
1;8;1;C;2;4.143042836;792.2948733;1623.373706;553.1475438;200.5962441;539.098141;761909.277;1.971217013;0
1;8;1;D;2;4.143042836;792.2948733;1623.373706;553.1475438;200.5962441;539.098141;761909.277;1.971217013;0
1;8;1;E;2;4.143042836;792.2948733;1623.373706;553.1475438;200.5962441;539.098141;761909.277;1.971217013;0
1;8;1;F;2;4.143042836;792.2948733;1623.373706;553.1475438;200.5962441;539.098141;761909.277;1.971217013;0
1;8;1;G;2;4.143042836;792.2948733;1623.373706;553.1475438;200.5962441;539.098141;761909.277;1.971217013;0
1;8;2;A+;5;4.858279725;550.6188117;1564.135101;568.0849955;208.6162894;558.3477329;19988583.82;1.960264089;0
1;8;2;A;5;4.858279725;550.6188117;1564.135101;568.0849955;208.6162894;558.3477329;19988583.82;1.960264089;0
1;8;2;B;5;4.858279725;617.7653888;1511.212556;608.386432;183.9019608;563.9807118;150610.5098;2.008559112;0
1;8;2;C;5;4.858279725;617.7653888;1511.212556;608.386432;183.9019608;563.9807118;150610.5098;2.008559112;0
1;8;2;D;5;4.858279725;617.7653888;1511.212556;608.386432;183.9019608;563.9807118;150610.5098;2.008559112;0
1;8;2;E;5;4.858279725;617.7653888;1511.212556;608.386432;183.9019608;563.9807118;150610.5098;2.008559112;0
1;8;2;F;5;4.858279725;617.7653888;1511.212556;608.386432;183.9019608;563.9807118;150610.5098;2.008559112;0
1;8;2;G;5;4.858279725;617.7653888;1511.212556;608.386432;183.9019608;563.9807118;150610.5098;2.008559112;0
1;9;0;A+;3;5.129182006;453.8967511;1485.388145;561.7276932;201.1025136;535.6950774;5650760.677;1.96113443;0
